fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,,Counter
10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,6,10.10.270.542.30.0657260.995313.170.5312.56,1
10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,6,10.10.280.461.80.055130.99743.040.7910.26,1
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,7,10.10.310.351.60.0759280.996723.240.8311.27,1
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,10.10.310.442.30.0822460.99883.320.679.76,1
10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,7,10.10.370.342.40.0855170.996833.170.6510.67,1
10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,7,10.10.380.52.40.1046130.996433.220.6511.67,1
10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,7,10.10.430.42.60.09213520.998343.220.64107,1
10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,6,10.10.450.231.90.08210180.997743.220.659.36,1
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6,10.10.650.375.10.1111651.00263.320.6410.46,1
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,4,10.10.9350.223.40.10511861.0013.430.6411.34,1
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4,10.20.230.372.20.05714360.996143.230.499.34,1
10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,5,10.20.240.492.40.07510280.99783.140.6110.45,1
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7,10.20.290.492.60.0595130.99763.050.7410.57,1
10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,10.20.290.652.40.0756170.995653.220.6311.86,1
10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,6,10.20.330.461.90.081690.996283.10.4810.46,1
10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,7,10.20.340.482.10.052590.994583.20.6912.17,1
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6,10.20.360.642.90.12210410.9983.230.6612.56,2
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6,10.20.360.642.90.12210410.9983.230.6612.56,2
10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,6,10.20.40.42.50.06841540.997543.380.8610.56,1
10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,5,10.20.410.432.20.1111370.997283.160.6710.85,1
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,10.20.420.573.40.074100.99713.040.639.65,1
10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7,10.20.440.4220.0717200.995663.140.7911.17,1
10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,7,10.20.440.584.10.09211240.997453.290.99127,1
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7,10.20.490.632.90.07210260.99683.160.7812.57,1
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6,10.20.540.3715.40.21455951.003693.180.7796,2
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6,10.20.540.3715.40.21455951.003693.180.7796,2
